tooth,sex,stage,stage_index,ln_mu,ln_sigma,mode,median,mean,sd,hpd_low,opt,hpd_high
C,female,Ci,1,0.0169,0.1724,0.9873,1.017,1.0323,0.1793,0.73,1.02,1.43
C,female,Cco,2,0.3748,0.1664,1.415,1.4548,1.4751,0.2472,1.05,1.45,2.02
C,female,Coc,3,0.6836,0.1561,1.9333,1.981,2.0053,0.315,1.46,1.98,2.7
C,female,Cr1_2,4,0.972,0.1598,2.5767,2.6434,2.6773,0.4306,1.93,2.64,3.62
C,female,Cr3_4,5,1.2862,0.1642,3.5227,3.619,3.6681,0.6064,2.62,3.62,5
C,female,Crc,6,1.6112,0.1633,4.877,5.0088,5.076,0.8344,3.63,5.01,6.91
C,female,Ri,7,1.8852,0.1492,6.4427,6.5877,6.6614,0.9994,4.91,6.59,8.85
C,female,R1_4,8,2.0894,0.1442,7.9142,8.0805,8.1649,1.1835,6.08,8.08,10.75
C,female,R1_2,9,2.2298,0.1372,9.1252,9.2985,9.3863,1.2935,7.09,9.3,12.2
C,female,R3_4,10,2.3304,0.1375,10.0901,10.2826,10.3802,1.4336,7.83,10.28,13.5
C,female,Rc,11,2.4112,0.1352,10.9452,11.1473,11.2497,1.5285,8.53,11.15,14.57
C,female,A1_2,12,2.5,0.1384,11.951,12.1821,12.2994,1.71,9.26,12.18,16.02
C,male,Ci,1,-0.0257,0.1602,0.9499,0.9746,0.9872,0.1592,0.71,0.97,1.33
C,male,Cco,2,0.3489,0.1735,1.3756,1.4176,1.4391,0.2515,1.01,1.42,1.99
C,male,Coc,3,0.6997,0.1522,1.9672,2.0132,2.0367,0.3118,1.49,2.01,2.72
C,male,Cr1_2,4,1.0384,0.1688,2.7454,2.8247,2.8652,0.487,2.03,2.82,3.93
C,male,Cr3_4,5,1.4244,0.1688,4.0386,4.1554,4.215,0.7168,2.99,4.16,5.78
C,male,Crc,6,1.7764,0.1565,5.7656,5.9085,5.9814,0.9419,4.34,5.91,8.04
C,male,Ri,7,2.0112,0.1342,7.3393,7.4727,7.5402,1.0162,5.73,7.47,9.74
C,male,R1_4,8,2.1878,0.1395,8.7438,8.9156,9.0027,1.2617,6.77,8.92,11.74
C,male,R1_2,9,2.334,0.1295,10.148,10.3197,10.4066,1.3534,7.99,10.32,13.33
C,male,R3_4,10,2.4308,0.1302,11.1774,11.3685,11.4652,1.499,8.79,11.37,14.7
C,male,Rc,11,2.5145,0.1281,12.1588,12.3599,12.4618,1.603,9.59,12.36,15.92
C,male,A1_2,12,2.5963,0.1294,13.1918,13.4144,13.5271,1.7572,10.38,13.42,17.35
