tooth,sex,stage,stage_index,ln_mu,ln_sigma,mode,median,mean,sd,hpd_low,opt,hpd_high
M2,female,Ci,1,1.3077,0.1087,3.6543,3.6977,3.7196,0.4054,2.99,3.7,4.58
M2,female,Cco,2,1.4407,0.1093,4.1735,4.2237,4.249,0.4659,3.41,4.22,5.24
M2,female,Coc,3,1.5578,0.1059,4.6955,4.7484,4.775,0.5069,3.85,4.75,5.85
M2,female,Cr1_2,4,1.6861,0.1118,5.3313,5.3984,5.4322,0.6092,4.33,5.4,6.73
M2,female,Cr3_4,5,1.8503,0.1132,6.2808,6.3617,6.4026,0.7269,5.09,6.36,7.95
M2,female,Crc,6,1.9882,0.1065,7.22,7.3024,7.3439,0.7843,5.92,7.3,9.01
M2,female,Ri,7,2.0913,0.106,8.0046,8.095,8.1406,0.8655,6.57,8.1,9.98
M2,female,Cli,8,2.174,0.1037,8.6997,8.7938,8.8413,0.9196,7.17,8.79,10.79
M2,female,R1_4,9,2.2714,0.1086,9.5798,9.6934,9.7508,1.0622,7.83,9.69,12.01
M2,female,R1_2,10,2.3776,0.1048,10.6618,10.7795,10.8389,1.1389,8.77,10.78,13.25
M2,female,R3_4,11,2.4807,0.108,11.8116,11.9502,12.0201,1.3021,9.66,11.95,14.78
M2,female,Rc,12,2.5831,0.1047,13.0944,13.2386,13.3113,1.397,10.77,13.24,16.27
M2,female,A1_2,13,2.6636,0.1042,14.1932,14.3481,14.4261,1.507,11.68,14.35,17.63
M2,male,Ci,1,1.3269,0.1302,3.706,3.7693,3.8014,0.4969,2.91,3.77,4.87
M2,male,Cco,2,1.44,0.1281,4.1517,4.2205,4.2553,0.5475,3.28,4.22,5.44
M2,male,Coc,3,1.5476,0.1293,4.622,4.6999,4.7394,0.6154,3.64,4.7,6.07
M2,male,Cr1_2,4,1.7085,0.1383,5.416,5.5207,5.5738,0.7747,4.2,5.52,7.25
M2,male,Cr3_4,5,1.878,0.1307,6.4297,6.5404,6.5965,0.8656,5.05,6.54,8.47
M2,male,Crc,6,2.0004,0.129,7.27,7.392,7.4538,0.9656,5.73,7.39,9.54
M2,male,Ri,7,2.1051,0.128,8.0745,8.2079,8.2755,1.0639,6.37,8.21,10.57
M2,male,Cli,8,2.1919,0.1268,8.8094,8.9522,9.0245,1.149,6.97,8.95,11.5
M2,male,R1_4,9,2.2993,0.1312,9.7976,9.9677,10.0538,1.3245,7.69,9.97,12.92
M2,male,R1_2,10,2.407,0.1268,10.9235,11.1006,11.1902,1.425,8.64,11.1,14.26
M2,male,R3_4,11,2.5079,0.13,12.0736,12.2793,12.3834,1.6164,9.5,12.28,15.88
M2,male,Rc,12,2.6069,0.126,13.3438,13.5575,13.6656,1.7292,10.56,13.56,17.42
M2,male,A1_2,13,2.6747,0.1238,14.2871,14.5079,14.6195,1.8173,11.33,14.54,18.65
