tooth,sex,stage,stage_index,ln_mu,ln_sigma,mode,median,mean,sd,hpd_low,opt,hpd_high
P3,female,Ci,1,0.9121,0.1115,2.4587,2.4894,2.5049,0.2802,2,2.49,3.1
P3,female,Cco,2,1.0753,0.1151,2.8921,2.9307,2.9502,0.3408,2.34,2.93,3.68
P3,female,Coc,3,1.2273,0.1092,3.3715,3.412,3.4324,0.376,2.75,3.41,4.23
P3,female,Cr1_2,4,1.3851,0.1167,3.9412,3.9952,4.0225,0.4709,3.18,4,5.03
P3,female,Cr3_4,5,1.6046,0.1257,4.8982,4.9761,5.0156,0.6327,3.89,4.98,6.36
P3,female,Crc,6,1.8366,0.1202,6.1852,6.2752,6.3207,0.7625,4.96,6.28,7.95
P3,female,Ri,7,2.0099,0.1098,7.3735,7.4629,7.5081,0.8271,6.01,7.46,9.27
P3,female,R1_4,8,2.1689,0.1161,8.6319,8.7491,8.8083,1.0265,6.96,8.75,10.99
P3,female,R1_2,9,2.3056,0.1061,9.9185,10.0307,10.0873,1.0728,8.14,10.03,12.36
P3,female,R3_4,10,2.397,0.1066,10.8665,10.9907,11.0533,1.1818,8.91,10.99,13.56
P3,female,Rc,11,2.4841,0.1055,11.8582,11.9909,12.0578,1.2755,9.74,11.99,14.76
P3,female,A1_2,12,2.5572,0.1048,12.7593,12.9002,12.9713,1.3632,10.49,12.9,15.86
P3,male,Ci,1,0.9322,0.1097,2.5097,2.5401,2.5554,0.2811,2.05,2.54,3.15
P3,male,Cco,2,1.0863,0.10780000000000001,2.9291,2.9633,2.9806,0.3223,2.4,2.96,3.66
P3,male,Coc,3,1.2395,0.1095,3.4128,3.4539,3.4746,0.3814,2.78,3.45,4.28
P3,male,Cr1_2,4,1.4267,0.1169,4.1084,4.1649,4.1935,0.4919,3.31,4.16,5.24
P3,male,Cr3_4,5,1.6592,0.1228,5.1764,5.2551,5.2949,0.6527,4.13,5.26,6.68
P3,male,Crc,6,1.8828,0.1143,6.4869,6.5722,6.6153,0.7584,5.25,6.57,8.23
P3,male,Ri,7,2.0447,0.1058,7.6405,7.7265,7.7698,0.8241,6.27,7.73,9.52
P3,male,R1_4,8,2.2077,0.1146,8.976,9.0948,9.1547,1.0529,7.26,9.09,11.39
P3,male,R1_2,9,2.3537,0.1028,10.4144,10.525,10.5807,1.0903,8.6,10.52,12.89
P3,male,R3_4,10,2.4394,0.1017,11.3481,11.4662,11.5257,1.1756,9.38,11.47,14.01
P3,male,Rc,11,2.5197,0.102,12.2968,12.4255,12.4903,1.2776,10.16,12.43,15.19
P3,male,A1_2,12,2.599,0.1016,13.3127,13.4507,13.5203,1.3768,11.01,13.45,16.43
