tooth,sex,stage,stage_index,theta,se_theta,n,mode,median,mean,ln_sd,se_ln_sd
M1,female,Ci,1,-1.73,0.0587,29,0.1748,0.1773,0.1785,0.1186,0.0032
M1,female,Cco,2,-0.7586,0.0199,65,0.4618,0.4683,0.4716,0.1186,0.0032
M1,female,Coc,3,-0.1801,0.0203,57,0.8235,0.8352,0.8411,0.1186,0.0032
M1,female,Cr1_2,4,0.2226,0.0256,47,1.2319,1.2493,1.2581,0.1186,0.0032
M1,female,Cr3_4,5,0.6323,0.0182,60,1.8556,1.8819,1.8952,0.1186,0.0032
M1,female,Crc,6,0.9116,0.0153,72,2.4535,2.4883,2.5059,0.1186,0.0032
M1,female,Ri,7,1.1534,0.0152,70,3.1247,3.1689,3.1913,0.1186,0.0032
M1,female,Cli,8,1.3585,0.0168,55,3.836,3.8904,3.9178,0.1186,0.0032
M1,female,R1_4,9,1.4914,0.0171,55,4.3812,4.4433,4.4747,0.1186,0.0032
M1,female,R1_2,10,1.7129,0.0159,64,5.4676,5.545,5.5842,0.1186,0.0032
M1,female,R3_4,11,1.8808,0.0153,68,6.4671,6.5587,6.605,0.1186,0.0032
M1,female,Rc,12,2.0799,0.0116,112,7.8919,8.0037,8.0602,0.1186,0.0032
M1,female,A1_2,13,2.1754,0.0115,111,8.6827,8.8057,8.8679,0.1186,0.0032
M1,female,Ac,14,2.2787,0.0118,112,9.6276,9.764,9.8329,0.1186,0.0032
M1,male,Ci,1,-1.7496,0.0469,48,0.1715,0.1738,0.175,0.1159,0.003
M1,male,Cco,2,-0.7625,0.0184,82,0.4603,0.4665,0.4696,0.1159,0.003
M1,male,Coc,3,-0.1329,0.0177,70,0.8639,0.8756,0.8815,0.1159,0.003
M1,male,Cr1_2,4,0.3169,0.0192,64,1.3545,1.3729,1.3821,0.1159,0.003
M1,male,Cr3_4,5,0.6473,0.0174,67,1.8849,1.9104,1.9232,0.1159,0.003
M1,male,Crc,6,0.9372,0.015,74,2.5188,2.5528,2.57,0.1159,0.003
M1,male,Ri,7,1.1904,0.0136,84,3.2445,3.2884,3.3106,0.1159,0.003
M1,male,Cli,8,1.3626,0.0152,67,3.8542,3.9063,3.9327,0.1159,0.003
M1,male,R1_4,9,1.5003,0.0148,72,4.4232,4.483,4.5132,0.1159,0.003
M1,male,R1_2,10,1.7444,0.014,79,5.6461,5.7225,5.761,0.1159,0.003
M1,male,R3_4,11,1.895,0.0134,83,6.5638,6.6525,6.6974,0.1159,0.003
M1,male,Rc,12,2.0814,0.0108,124,7.9087,8.0157,8.0697,0.1159,0.003
M1,male,A1_2,13,2.2057,0.0118,102,8.9555,9.0766,9.1378,0.1159,0.003
M1,male,Ac,14,2.3186,0.0114,114,10.0259,10.1614,10.2299,0.1159,0.003
