tooth,sex,stage,stage_index,theta,se_theta,n,mode,median,mean,ln_sd,se_ln_sd
P4,female,Ci,1,1.2768,0.0175,47,3.5394,3.5851,3.6082,0.1133,0.0031
P4,female,Cco,2,1.3886,0.0209,32,3.9581,4.0092,4.035,0.1133,0.0031
P4,female,Coc,3,1.4773,0.0214,30,4.3252,4.3811,4.4093,0.1133,0.0031
P4,female,Cr1_2,4,1.6052,0.0187,41,4.9154,4.9789,5.0109,0.1133,0.0031
P4,female,Cr3_4,5,1.7379,0.0178,46,5.6129,5.6854,5.722,0.1133,0.0031
P4,female,Crc,6,1.9091,0.0141,72,6.661,6.747,6.7905,0.1133,0.0031
P4,female,Ri,7,2.0388,0.0124,89,7.5834,7.6814,7.7308,0.1133,0.0031
P4,female,R1_4,8,2.138,0.0105,124,8.3743,8.4825,8.5371,0.1133,0.0031
P4,female,R1_2,9,2.3003,0.0123,88,9.8499,9.9772,10.0414,0.1133,0.0031
P4,female,R3_4,10,2.3954,0.0142,67,10.8326,10.9726,11.0432,0.1133,0.0031
P4,female,Rc,11,2.5346,0.0168,47,12.4505,12.6114,12.6926,0.1133,0.0031
P4,female,A1_2,12,2.6293,0.0199,33,13.6872,13.8641,13.9533,0.1133,0.0031
P4,female,Ac,13,2.6827,0.0195,35,14.438,14.6245,14.7187,0.1133,0.0031
P4,male,Ci,1,1.2589,0.0164,53,3.4778,3.5215,3.5436,0.1118,0.003
P4,male,Cco,2,1.3699,0.0171,47,3.8861,3.935,3.9596,0.1118,0.003
P4,male,Coc,3,1.4701,0.019,38,4.2956,4.3497,4.3769,0.1118,0.003
P4,male,Cr1_2,4,1.5917,0.0172,48,4.8511,4.9121,4.9429,0.1118,0.003
P4,male,Cr3_4,5,1.7447,0.0145,69,5.6531,5.7242,5.7601,0.1118,0.003
P4,male,Crc,6,1.9294,0.0132,78,6.7999,6.8854,6.9285,0.1118,0.003
P4,male,Ri,7,2.058,0.0125,86,7.733,7.8303,7.8794,0.1118,0.003
P4,male,R1_4,8,2.1589,0.0112,105,8.554,8.6616,8.7159,0.1118,0.003
P4,male,R1_2,9,2.3403,0.0128,80,10.2554,10.3844,10.4495,0.1118,0.003
P4,male,R3_4,10,2.423,0.0147,60,11.1395,11.2796,11.3504,0.1118,0.003
P4,male,Rc,11,2.542,0.0162,49,12.5472,12.7051,12.7847,0.1118,0.003
P4,male,A1_2,12,2.6114,0.0194,34,13.4489,13.6181,13.7035,0.1118,0.003
P4,male,Ac,13,2.6855,0.0178,42,14.4834,14.6655,14.7575,0.1118,0.003
